Sequential # of First Verse in Pericope	# of Verses in Pericope	Canon Order	Heading	Verse Range
1	34	1	The Beginning	GEN 1:1-2:3
35	22	2	Adam and Eve	GEN 2:4-25
57	24	3	The Fall of Man	GEN 3:1-24
81	26	4	Cain and Abel	GEN 4:1-26
107	32	5	From Adam to Noah	GEN 5:1-32
139	68	6	The Flood	GEN 6:1-8:22
207	17	7	God's Covenant With Noah	GEN 9:1-17
224	12	8	The Sons of Noah	GEN 9:18-29
236	32	9	The Table of Nations	GEN 10:1-32
268	9	10	The Tower of Babel	GEN 11:1-9
277	23	11	From Shem to Abram	GEN 11:10-32
300	9	12	The Call of Abram	GEN 12:1-9
309	11	13	Abram in Egypt	GEN 12:10-20
320	18	14	Abram and Lot Separate	GEN 13:1-18
338	24	15	Abram Rescues Lot	GEN 14:1-24
362	21	16	God's Covenant With Abram	GEN 15:1-21
383	16	17	Hagar and Ishmael	GEN 16:1-16
399	27	18	The Covenant of Circumcision	GEN 17:1-27
426	15	19	The Three Visitors	GEN 18:1-15
441	18	20	Abraham Pleads for Sodom	GEN 18:16-33
459	29	21	Sodom and Gomorrah Destroyed	GEN 19:1-29
488	9	22	Lot and His Daughters	GEN 19:30-38
497	18	23	Abraham and Abimelech	GEN 20:1-18
515	7	24	The Birth of Isaac	GEN 21:1-7
522	14	25	Hagar and Ishmael Sent Away	GEN 21:8-21
536	13	26	The Treaty at Beersheba	GEN 21:22-34
549	19	27	Abraham Tested	GEN 22:1-19
568	5	28	Nahor's Sons	GEN 22:20-24
573	20	29	The Death of Sarah	GEN 23:1-20
593	67	30	Isaac and Rebekah	GEN 24:1-67
660	11	31	The Death of Abraham	GEN 25:1-11
671	7	32	Ishmael's Sons	GEN 25:12-18
678	16	33	Jacob and Esau	GEN 25:19-34
694	35	34	Isaac and Abimelech	GEN 26:1-35
729	40	35	Jacob Gets Isaac's Blessing	GEN 27:1-40
769	15	36	Jacob Flees to Laban	GEN 27:41-28:9
784	13	37	Jacob's Dream at Bethel	GEN 28:10-22
797	14	38	Jacob Arrives in Paddan Aram	GEN 29:1-14
811	16	39	Jacob Marries Leah and Rachel	GEN 29:15-30
827	29	40	Jacob's Children	GEN 29:31-30:24
856	19	41	Jacob's Flocks Increase	GEN 30:25-43
875	21	42	Jacob Flees From Laban	GEN 31:1-21
896	34	43	Laban Pursues Jacob	GEN 31:22-55
930	21	44	Jacob Prepares to Meet Esau	GEN 32:1-21
951	11	45	Jacob Wrestles With God	GEN 32:22-32
962	20	46	Jacob Meets Esau	GEN 33:1-20
982	31	47	Dinah and the Shechemites	GEN 34:1-31
1013	15	48	Jacob Returns to Bethel	GEN 35:1-15
1028	14	49	The Deaths of Rachel and Isaac	GEN 35:16-29
1042	30	50	Esau's Descendants	GEN 36:1-30
1072	13	51	The Rulers of Edom	GEN 36:31-43
1085	11	52	Joseph's Dreams	GEN 37:1-11
1096	25	53	Joseph Sold by His Brothers	GEN 37:12-36
1121	30	54	Judah and Tamar	GEN 38:1-30
1151	23	55	Joseph and Potiphar's Wife	GEN 39:1-23
1174	23	56	The Cupbearer and the Baker	GEN 40:1-23
1197	40	57	Pharaoh's Dreams	GEN 41:1-40
1237	17	58	Joseph in Charge of Egypt	GEN 41:41-57
1254	38	59	Joseph's Brothers Go to Egypt	GEN 42:1-38
1292	34	60	The Second Journey to Egypt	GEN 43:1-34
1326	34	61	A Silver Cup in a Sack	GEN 44:1-34
1360	28	62	Joseph Makes Himself Known	GEN 45:1-28
1388	46	63	Jacob Goes to Egypt	GEN 46:1-47:12
1434	19	64	Joseph and the Famine	GEN 47:13-31
1453	22	65	Manasseh and Ephraim	GEN 48:1-22
1475	28	66	Jacob Blesses His Sons	GEN 49:1-28
1503	19	67	The Death of Jacob	GEN 49:29-50:14
1522	7	68	Joseph Reassures His Brothers	GEN 50:15-21
1529	5	69	The Death of Joseph	GEN 50:22-26
1534	22	70	The Israelites Oppressed	EXOD 1:1-22
1556	10	71	The Birth of Moses	EXOD 2:1-10
1566	15	72	Moses Flees to Midian	EXOD 2:11-25
1581	22	73	Moses and the Burning Bush	EXOD 3:1-22
1603	17	74	Signs for Moses	EXOD 4:1-17
1620	14	75	Moses Returns to Egypt	EXOD 4:18-31
1634	21	76	Bricks Without Straw	EXOD 5:1-21
1655	14	77	God Promises Deliverance	EXOD 5:22-6:12
1669	15	78	Family Record of Moses and Aaron	EXOD 6:13-27
1684	10	79	Aaron to Speak for Moses	EXOD 6:28-7:7
1694	6	80	Aaron's Staff Becomes a Snake	EXOD 7:8-13
1700	11	81	The Plague of Blood	EXOD 7:14-24
1711	16	82	The Plague of Frogs	EXOD 7:25-8:15
1727	4	83	The Plague of Gnats	EXOD 8:16-19
1731	13	84	The Plague of Flies	EXOD 8:20-32
1744	7	85	The Plague on Livestock	EXOD 9:1-7
1751	5	86	The Plague of Boils	EXOD 9:8-12
1756	23	87	The Plague of Hail	EXOD 9:13-35
1779	20	88	The Plague of Locusts	EXOD 10:1-20
1799	9	89	The Plague of Darkness	EXOD 10:21-29
1808	10	90	The Plague on the Firstborn	EXOD 11:1-10
1818	30	91	The Passover	EXOD 12:1-30
1848	12	92	The Exodus	EXOD 12:31-42
1860	9	93	Passover Restrictions	EXOD 12:43-51
1869	16	94	Consecration of the Firstborn	EXOD 13:1-16
1885	37	95	Crossing the Sea	EXOD 13:17-14:31
1922	21	96	The Song of Moses and Miriam	EXOD 15:1-21
1943	6	97	The Waters of Marah and Elim	EXOD 15:22-27
1949	36	98	Manna and Quail	EXOD 16:1-36
1985	7	99	Water From the Rock	EXOD 17:1-7
1992	9	100	The Amalekites Defeated	EXOD 17:8-16
2001	27	101	Jethro Visits Moses	EXOD 18:1-27
2028	25	102	At Mount Sinai	EXOD 19:1-25
2053	21	103	The Ten Commandments	EXOD 20:1-21
2074	6	104	Idols and Altars	EXOD 20:22-21:1
2080	10	105	Hebrew Servants	EXOD 21:2-11
2090	25	106	Personal Injuries	EXOD 21:12-36
2115	15	107	Protection of Property	EXOD 22:1-15
2130	16	108	Social Responsibility	EXOD 22:16-31
2146	9	109	Laws of Justice and Mercy	EXOD 23:1-9
2155	4	110	Sabbath Laws	EXOD 23:10-13
2159	6	111	The Three Annual Festivals	EXOD 23:14-19
2165	14	112	God's Angel to Prepare the Way	EXOD 23:20-33
2179	18	113	The Covenant Confirmed	EXOD 24:1-18
2197	9	114	Offerings for the Tabernacle	EXOD 25:1-9
2206	13	115	The Ark	EXOD 25:10-22
2219	8	116	The Table	EXOD 25:23-30
2227	10	117	The Lampstand	EXOD 25:31-40
2237	37	118	The Tabernacle	EXOD 26:1-37
2274	8	119	The Altar of Burnt Offering	EXOD 27:1-8
2282	11	120	The Courtyard	EXOD 27:9-19
2293	2	121	Oil for the Lampstand	EXOD 27:20-21
2295	5	122	The Priestly Garments	EXOD 28:1-5
2300	9	123	The Ephod	EXOD 28:6-14
2309	16	124	The Breastpiece	EXOD 28:15-30
2325	13	125	Other Priestly Garments	EXOD 28:31-43
2338	46	126	Consecration of the Priests	EXOD 29:1-46
2384	10	127	The Altar of Incense	EXOD 30:1-10
2394	6	128	Atonement Money	EXOD 30:11-16
2400	5	129	Basin for Washing	EXOD 30:17-21
2405	12	130	Anointing Oil	EXOD 30:22-33
2417	5	131	Incense	EXOD 30:34-38
2422	11	132	Bezalel and Oholiab	EXOD 31:1-11
2433	7	133	The Sabbath	EXOD 31:12-18
2440	41	134	The Golden Calf	EXOD 32:1-33:6
2481	5	135	The Tent of Meeting	EXOD 33:7-11
2486	12	136	Moses and the Glory of the LORD	EXOD 33:12-23
2498	28	137	The New Stone Tablets	EXOD 34:1-28
2526	7	138	The Radiant Face of Moses	EXOD 34:29-35
2533	3	139	Sabbath Regulations	EXOD 35:1-3
2536	26	140	Materials for the Tabernacle	EXOD 35:4-29
2562	13	141	Bezalel and Oholiab	EXOD 35:30-36:7
2575	31	142	The Tabernacle	EXOD 36:8-38
2606	9	143	The Ark	EXOD 37:1-9
2615	7	144	The Table	EXOD 37:10-16
2622	8	145	The Lampstand	EXOD 37:17-24
2630	5	146	The Altar of Incense	EXOD 37:25-29
2635	7	147	The Altar of Burnt Offering	EXOD 38:1-7
2642	1	148	Basin for Washing	EXOD 38:8-8
2643	12	149	The Courtyard	EXOD 38:9-20
2655	11	150	The Materials Used	EXOD 38:21-31
2666	1	151	The Priestly Garments	EXOD 39:1-1
2667	6	152	The Ephod	EXOD 39:2-7
2673	14	153	The Breastpiece	EXOD 39:8-21
2687	10	154	Other Priestly Garments	EXOD 39:22-31
2697	12	155	Moses Inspects the Tabernacle	EXOD 39:32-43
2709	33	156	Setting Up the Tabernacle	EXOD 40:1-33
2742	5	157	The Glory of the Lord	EXOD 40:34-38
2747	17	158	The Burnt Offering	LEV 1:1-17
2764	16	159	The Grain Offering	LEV 2:1-16
2780	17	160	The Fellowship Offering	LEV 3:1-17
2797	48	161	The Sin Offering	LEV 4:1-5:13
2845	13	162	The Guilt Offering	LEV 5:14-6:7
2858	6	163	The Burnt Offering	LEV 6:8-13
2864	10	164	The Grain Offering	LEV 6:14-23
2874	7	165	The Sin Offering	LEV 6:24-30
2881	10	166	The Guilt Offering	LEV 7:1-10
2891	11	167	The Fellowship Offering	LEV 7:11-21
2902	6	168	Eating Fat and Blood Forbidden	LEV 7:22-27
2908	11	169	The Priests' Share	LEV 7:28-38
2919	36	170	The Ordination of Aaron and His Sons	LEV 8:1-36
2955	24	171	The Priests Begin Their Ministry	LEV 9:1-24
2979	20	172	The Death of Nadab and Abihu	LEV 10:1-20
2999	47	173	Clean and Unclean Food	LEV 11:1-47
3046	8	174	Purification After Childbirth	LEV 12:1-8
3054	46	175	Regulations About Infectious Skin Diseases	LEV 13:1-46
3100	13	176	Regulations About Mildew	LEV 13:47-59
3113	32	177	Cleansing From Infectious Skin Diseases	LEV 14:1-32
3145	25	178	Cleansing From Mildew	LEV 14:33-57
3170	33	179	Discharges Causing Uncleanness	LEV 15:1-33
3203	34	180	The Day of Atonement	LEV 16:1-34
3237	16	181	Eating Blood Forbidden	LEV 17:1-16
3253	30	182	Unlawful Sexual Relations	LEV 18:1-30
3283	37	183	Various Laws	LEV 19:1-37
3320	27	184	Punishments for Sin	LEV 20:1-27
3347	40	185	Rules for Priests	LEV 21:1-22:16
3387	19	186	Unacceptable Sacrifices	LEV 22:17-23:2
3406	1	187	The Sabbath	LEV 23:3-3
3407	5	188	The Passover and Unleavened Bread	LEV 23:4-8
3412	6	189	Firstfruits	LEV 23:9-14
3418	8	190	Feast of Weeks	LEV 23:15-22
3426	3	191	Feast of Trumpets	LEV 23:23-25
3429	7	192	Day of Atonement	LEV 23:26-32
3436	12	193	Feast of Tabernacles	LEV 23:33-44
3448	23	194	Oil and Bread Set Before the LORD	LEV 24:1-23
3471	7	195	The Sabbath Year	LEV 25:1-7
3478	48	196	The Year of Jubilee	LEV 25:8-55
3526	13	197	Reward for Obedience	LEV 26:1-13
3539	33	198	Punishment for Disobedience	LEV 26:14-46
3572	34	199	Redeeming What Is the LORD 's	LEV 27:1-34
3606	54	200	The Census	NUM 1:1-54
3660	34	201	The Arrangement of the Tribal Camps	NUM 2:1-34
3694	51	202	The Levites	NUM 3:1-51
3745	20	203	The Kohathites	NUM 4:1-20
3765	8	204	The Gershonites	NUM 4:21-28
3773	5	205	The Merarites	NUM 4:29-33
3778	16	206	The Numbering of the Levite Clans	NUM 4:34-49
3794	4	207	The Purity of the Camp	NUM 5:1-4
3798	6	208	Restitution for Wrongs	NUM 5:5-10
3804	21	209	The Test for an Unfaithful Wife	NUM 5:11-31
3825	21	210	The Nazirite	NUM 6:1-21
3846	6	211	The Priestly Blessing	NUM 6:22-27
3852	89	212	Offerings at the Dedication of the Tabernacle	NUM 7:1-89
3941	4	213	Setting Up the Lamps	NUM 8:1-4
3945	22	214	The Setting Apart of the Levites	NUM 8:5-26
3967	14	215	The Passover	NUM 9:1-14
3981	9	216	The Cloud Above the Tabernacle	NUM 9:15-23
3990	10	217	The Silver Trumpets	NUM 10:1-10
4000	26	218	The Israelites Leave Sinai	NUM 10:11-36
4026	35	219	Fire From the LORD	NUM 11:1-35
4061	16	220	Miriam and Aaron Oppose Moses	NUM 12:1-16
4077	25	221	Exploring Canaan	NUM 13:1-25
4102	8	222	Report on the Exploration	NUM 13:26-33
4110	45	223	The People Rebel	NUM 14:1-45
4155	21	224	Supplementary Offerings	NUM 15:1-21
4176	10	225	Offerings for Unintentional Sins	NUM 15:22-31
4186	5	226	The Sabbath-Breaker Put to Death	NUM 15:32-36
4191	5	227	Tassels on Garments	NUM 15:37-41
4196	50	228	Korah, Dathan and Abiram	NUM 16:1-50
4246	13	229	The Budding of Aaron's Staff	NUM 17:1-13
4259	7	230	Duties of Priests and Levites	NUM 18:1-7
4266	25	231	Offerings for Priests and Levites	NUM 18:8-32
4291	22	232	The Water of Cleansing	NUM 19:1-22
4313	13	233	Water From the Rock	NUM 20:1-13
4326	8	234	Edom Denies Israel Passage	NUM 20:14-21
4334	8	235	The Death of Aaron	NUM 20:22-29
4342	3	236	Arad Destroyed	NUM 21:1-3
4345	6	237	The Bronze Snake	NUM 21:4-9
4351	11	238	The Journey to Moab	NUM 21:10-20
4362	15	239	Defeat of Sihon and Og	NUM 21:21-35
4377	20	240	Balak Summons Balaam	NUM 22:1-20
4397	21	241	Balaam's Donkey	NUM 22:21-41
4418	12	242	Balaam's First Oracle	NUM 23:1-12
4430	14	243	Balaam's Second Oracle	NUM 23:13-26
4444	18	244	Balaam's Third Oracle	NUM 23:27-24:14
4462	5	245	Balaam's Fourth Oracle	NUM 24:15-19
4467	6	246	Balaam's Final Oracles	NUM 24:20-25
4473	18	247	Moab Seduces Israel	NUM 25:1-18
4491	65	248	The Second Census	NUM 26:1-65
4556	11	249	Zelophehad's Daughters	NUM 27:1-11
4567	12	250	Joshua to Succeed Moses	NUM 27:12-23
4579	8	251	Daily Offerings	NUM 28:1-8
4587	2	252	Sabbath Offerings	NUM 28:9-10
4589	5	253	Monthly Offerings	NUM 28:11-15
4594	10	254	The Passover	NUM 28:16-25
4604	6	255	Feast of Weeks	NUM 28:26-31
4610	6	256	Feast of Trumpets	NUM 29:1-6
4616	5	257	Day of Atonement	NUM 29:7-11
4621	29	258	Feast of Tabernacles	NUM 29:12-40
4650	16	259	Vows	NUM 30:1-16
4666	24	260	Vengeance on the Midianites	NUM 31:1-24
4690	30	261	Dividing the Spoils	NUM 31:25-54
4720	42	262	The Transjordan Tribes	NUM 32:1-42
4762	56	263	Stages in Israel's Journey	NUM 33:1-56
4818	29	264	Boundaries of Canaan	NUM 34:1-29
4847	5	265	Towns for the Levites	NUM 35:1-5
4852	29	266	Cities of Refuge	NUM 35:6-34
4881	13	267	Inheritance of Zelophehad's Daughters	NUM 36:1-13
4894	8	268	The Command to Leave Horeb	DEUT 1:1-8
4902	10	269	The Appointment of Leaders	DEUT 1:9-18
4912	7	270	Spies Sent Out	DEUT 1:19-25
4919	21	271	Rebellion Against the LORD	DEUT 1:26-46
4940	23	272	Wanderings in the Desert	DEUT 2:1-23
4963	14	273	Defeat of Sihon King of Heshbon	DEUT 2:24-37
4977	11	274	Defeat of Og King of Bashan	DEUT 3:1-11
4988	9	275	Division of the Land	DEUT 3:12-20
4997	9	276	Moses Forbidden to Cross the Jordan	DEUT 3:21-29
5006	14	277	Obedience Commanded	DEUT 4:1-14
5020	17	278	Idolatry Forbidden	DEUT 4:15-31
5037	9	279	The Lord Is God	DEUT 4:32-40
5046	3	280	Cities of Refuge	DEUT 4:41-43
5049	6	281	Introduction to the Law	DEUT 4:44-49
5055	33	282	The Ten Commandments	DEUT 5:1-33
5088	25	283	Love the LORD Your God	DEUT 6:1-25
5113	26	284	Driving Out the Nations	DEUT 7:1-26
5139	20	285	Do Not Forget the LORD	DEUT 8:1-20
5159	6	286	Not Because of Israel's Righteousness	DEUT 9:1-6
5165	23	287	The Golden Calf	DEUT 9:7-29
5188	11	288	Tablets Like the First Ones	DEUT 10:1-11
5199	11	289	Fear the LORD	DEUT 10:12-22
5210	32	290	Love and Obey the LORD	DEUT 11:1-32
5242	32	291	The One Place of Worship	DEUT 12:1-32
5274	18	292	Worshiping Other Gods	DEUT 13:1-18
5292	21	293	Clean and Unclean Food	DEUT 14:1-21
5313	8	294	Tithes	DEUT 14:22-29
5321	11	295	The Year for Canceling Debts	DEUT 15:1-11
5332	7	296	Freeing Servants	DEUT 15:12-18
5339	5	297	The Firstborn Animals	DEUT 15:19-23
5344	8	298	Passover	DEUT 16:1-8
5352	4	299	Feast of Weeks	DEUT 16:9-12
5356	5	300	Feast of Tabernacles	DEUT 16:13-17
5361	3	301	Judges	DEUT 16:18-20
5364	9	302	Worshiping Other Gods	DEUT 16:21-17:7
5373	6	303	Law Courts	DEUT 17:8-13
5379	7	304	The King	DEUT 17:14-20
5386	8	305	Offerings for Priests and Levites	DEUT 18:1-8
5394	5	306	Detestable Practices	DEUT 18:9-13
5399	9	307	The Prophet	DEUT 18:14-22
5408	14	308	Cities of Refuge	DEUT 19:1-14
5422	7	309	Witnesses	DEUT 19:15-21
5429	20	310	Going to War	DEUT 20:1-20
5449	9	311	Atonement for an Unsolved Murder	DEUT 21:1-9
5458	5	312	Marrying a Captive Woman	DEUT 21:10-14
5463	3	313	The Right of the Firstborn	DEUT 21:15-17
5466	4	314	A Rebellious Son	DEUT 21:18-21
5470	14	315	Various Laws	DEUT 21:22-22:12
5484	18	316	Marriage Violations	DEUT 22:13-30
5502	8	317	Exclusion From the Assembly	DEUT 23:1-8
5510	6	318	Uncleanness in the Camp	DEUT 23:9-14
5516	52	319	Miscellaneous Laws	DEUT 23:15-25:19
5568	15	320	Firstfruits and Tithes	DEUT 26:1-15
5583	4	321	Follow the LORD 's Commands	DEUT 26:16-19
5587	8	322	The Altar on Mount Ebal	DEUT 27:1-8
5595	18	323	Curses From Mount Ebal	DEUT 27:9-26
5613	14	324	Blessings for Obedience	DEUT 28:1-14
5627	54	325	Curses for Disobedience	DEUT 28:15-68
5681	29	326	Renewal of the Covenant	DEUT 29:1-29
5710	20	327	Prosperity After Turning to the LORD	DEUT 30:1-20
5730	8	328	Joshua to Succeed Moses	DEUT 31:1-8
5738	5	329	The Reading of the Law	DEUT 31:9-13
5743	16	330	Israel's Rebellion Predicted	DEUT 31:14-29
5759	48	331	The Song of Moses	DEUT 31:30-32:47
5807	5	332	Moses to Die on Mount Nebo	DEUT 32:48-52
5812	29	333	Moses Blesses the Tribes	DEUT 33:1-29
5841	12	334	The Death of Moses	DEUT 34:1-12
5853	18	335	The LORD Commands Joshua	JOSH 1:1-18
5871	24	336	Rahab and the Spies	JOSH 2:1-24
5895	41	337	Crossing the Jordan	JOSH 3:1-4:24
5936	12	338	Circumcision at Gilgal	JOSH 5:1-12
5948	30	339	The Fall of Jericho	JOSH 5:13-6:27
5978	26	340	Achan's Sin	JOSH 7:1-26
6004	29	341	Ai Destroyed	JOSH 8:1-29
6033	6	342	The Covenant Renewed at Mount Ebal	JOSH 8:30-35
6039	27	343	The Gibeonite Deception	JOSH 9:1-27
6066	15	344	The Sun Stands Still	JOSH 10:1-15
6081	13	345	Five Amorite Kings Killed	JOSH 10:16-28
6094	15	346	Southern Cities Conquered	JOSH 10:29-43
6109	23	347	Northern Kings Defeated	JOSH 11:1-23
6132	24	348	List of Defeated Kings	JOSH 12:1-24
6156	7	349	Land Still to Be Taken	JOSH 13:1-7
6163	26	350	Division of the Land East of the Jordan	JOSH 13:8-33
6189	5	351	Division of the Land West of the Jordan	JOSH 14:1-5
6194	10	352	Hebron Given to Caleb	JOSH 14:6-15
6204	63	353	Allotment for Judah	JOSH 15:1-63
6267	28	354	Allotment for Ephraim and Manasseh	JOSH 16:1-17:18
6295	10	355	Division of the Rest of the Land	JOSH 18:1-10
6305	18	356	Allotment for Benjamin	JOSH 18:11-28
6323	9	357	Allotment for Simeon	JOSH 19:1-9
6332	7	358	Allotment for Zebulun	JOSH 19:10-16
6339	7	359	Allotment for Issachar	JOSH 19:17-23
6346	8	360	Allotment for Asher	JOSH 19:24-31
6354	8	361	Allotment for Naphtali	JOSH 19:32-39
6362	9	362	Allotment for Dan	JOSH 19:40-48
6371	3	363	Allotment for Joshua	JOSH 19:49-51
6374	9	364	Cities of Refuge	JOSH 20:1-9
6383	45	365	Towns for the Levites	JOSH 21:1-45
6428	34	366	Eastern Tribes Return Home	JOSH 22:1-34
6462	16	367	Joshua's Farewell to the Leaders	JOSH 23:1-16
6478	27	368	The Covenant Renewed at Shechem	JOSH 24:1-27
6505	6	369	Buried in the Promised Land	JOSH 24:28-33
6511	36	370	Israel Fights the Remaining Canaanites	JUDG 1:1-36
6547	5	371	The Angel of the LORD at Bokim	JUDG 2:1-5
6552	24	372	Disobedience and Defeat	JUDG 2:6-3:6
6576	5	373	Othniel	JUDG 3:7-11
6581	19	374	Ehud	JUDG 3:12-30
6600	1	375	Shamgar	JUDG 3:31-31
6601	24	376	Deborah	JUDG 4:1-24
6625	31	377	The Song of Deborah	JUDG 5:1-31
6656	40	378	Gideon	JUDG 6:1-40
6696	25	379	Gideon Defeats the Midianites	JUDG 7:1-25
6721	21	380	Zebah and Zalmunna	JUDG 8:1-21
6742	6	381	Gideon's Ephod	JUDG 8:22-27
6748	8	382	Gideon's Death	JUDG 8:28-35
6756	57	383	Abimelech	JUDG 9:1-57
6813	2	384	Tola	JUDG 10:1-2
6815	3	385	Jair	JUDG 10:3-5
6818	53	386	Jephthah	JUDG 10:6-11:40
6871	7	387	Jephthah and Ephraim	JUDG 12:1-7
6878	8	388	Ibzan, Elon and Abdon	JUDG 12:8-15
6886	25	389	The Birth of Samson	JUDG 13:1-25
6911	20	390	Samson's Marriage	JUDG 14:1-20
6931	20	391	Samson's Vengeance on the Philistines	JUDG 15:1-20
6951	22	392	Samson and Delilah	JUDG 16:1-22
6973	9	393	The Death of Samson	JUDG 16:23-31
6982	13	394	Micah's Idols	JUDG 17:1-13
6995	31	395	Danites Settle in Laish	JUDG 18:1-31
7026	30	396	A Levite and His Concubine	JUDG 19:1-30
7056	48	397	Israelites Fight the Benjamites	JUDG 20:1-48
7104	25	398	Wives for the Benjamites	JUDG 21:1-25
7129	22	399	Naomi and Ruth	RUTH 1:1-22
7151	23	400	Ruth Meets Boaz	RUTH 2:1-23
7174	18	401	Ruth and Boaz at the Threshing Floor	RUTH 3:1-18
7192	12	402	Boaz Marries Ruth	RUTH 4:1-12
7204	10	403	The Genealogy of David	RUTH 4:13-22
7214	20	404	The Birth of Samuel	1SAM 1:1-20
7234	8	405	Hannah Dedicates Samuel	1SAM 1:21-28
7242	11	406	Hannah's Prayer	1SAM 2:1-11
7253	15	407	Eli's Wicked Sons	1SAM 2:12-26
7268	10	408	Prophecy Against the House of Eli	1SAM 2:27-36
7278	22	409	The LORD Calls Samuel	1SAM 3:1-4:1
7300	10	410	The Philistines Capture the Ark	1SAM 4:2-11
7310	11	411	Death of Eli	1SAM 4:12-22
7321	12	412	The Ark in Ashdod and Ekron	1SAM 5:1-12
7333	22	413	The Ark Returned to Israel	1SAM 6:1-7:1
7355	16	414	Samuel Subdues the Philistines at Mizpah	1SAM 7:2-17
7371	22	415	Israel Asks for a King	1SAM 8:1-22
7393	35	416	Samuel Anoints Saul	1SAM 9:1-10:8
7428	19	417	Saul Made King	1SAM 10:9-27
7447	11	418	Saul Rescues the City of Jabesh	1SAM 11:1-11
7458	4	419	Saul Confirmed as King	1SAM 11:12-15
7462	25	420	Samuel's Farewell Speech	1SAM 12:1-25
7487	15	421	Samuel Rebukes Saul	1SAM 13:1-15
7502	7	422	Israel Without Weapons	1SAM 13:16-22
7509	15	423	Jonathan Attacks the Philistines	1SAM 13:23-14:14
7524	9	424	Israel Routs the Philistines	1SAM 14:15-23
7533	25	425	Jonathan Eats Honey	1SAM 14:24-48
7558	4	426	Saul's Family	1SAM 14:49-52
7562	35	427	The LORD Rejects Saul as King	1SAM 15:1-35
7597	13	428	Samuel Anoints David	1SAM 16:1-13
7610	10	429	David in Saul's Service	1SAM 16:14-23
7620	58	430	David and Goliath	1SAM 17:1-58
7678	30	431	Saul's Jealousy of David	1SAM 18:1-30
7708	24	432	Saul Tries to Kill David	1SAM 19:1-24
7732	42	433	David and Jonathan	1SAM 20:1-42
7774	9	434	David at Nob	1SAM 21:1-9
7783	6	435	David at Gath	1SAM 21:10-15
7789	5	436	David at Adullam and Mizpah	1SAM 22:1-5
7794	18	437	Saul Kills the Priests of Nob	1SAM 22:6-23
7812	6	438	David Saves Keilah	1SAM 23:1-6
7818	23	439	Saul Pursues David	1SAM 23:7-29
7841	22	440	David Spares Saul's Life	1SAM 24:1-22
7863	44	441	David, Nabal and Abigail	1SAM 25:1-44
7907	25	442	David Again Spares Saul's Life	1SAM 26:1-25
7932	12	443	David Among the Philistines	1SAM 27:1-12
7944	25	444	Saul and the Witch of Endor	1SAM 28:1-25
7969	11	445	Achish Sends David Back to Ziklag	1SAM 29:1-11
7980	31	446	David Destroys the Amalekites	1SAM 30:1-31
8011	13	447	Saul Takes His Life	1SAM 31:1-13
8024	16	448	David Hears of Saul's Death	2SAM 1:1-16
8040	11	449	David's Lament for Saul and Jonathan	2SAM 1:17-27
8051	7	450	David Anointed King Over Judah	2SAM 2:1-7
8058	30	451	War Between the Houses of David and Saul	2SAM 2:8-3:5
8088	16	452	Abner Goes Over to David	2SAM 3:6-21
8104	18	453	Joab Murders Abner	2SAM 3:22-39
8122	12	454	Ish-Bosheth Murdered	2SAM 4:1-12
8134	5	455	David Becomes King Over Israel	2SAM 5:1-5
8139	11	456	David Conquers Jerusalem	2SAM 5:6-16
8150	9	457	David Defeats the Philistines	2SAM 5:17-25
8159	23	458	The Ark Brought to Jerusalem	2SAM 6:1-23
8182	17	459	God's Promise to David	2SAM 7:1-17
8199	12	460	David's Prayer	2SAM 7:18-29
8211	14	461	David's Victories	2SAM 8:1-14
8225	4	462	David's Officials	2SAM 8:15-18
8229	13	463	David and Mephibosheth	2SAM 9:1-13
8242	19	464	David Defeats the Ammonites	2SAM 10:1-19
8261	27	465	David and Bathsheba	2SAM 11:1-27
8288	31	466	Nathan Rebukes David	2SAM 12:1-31
8319	22	467	Amnon and Tamar	2SAM 13:1-22
8341	17	468	Absalom Kills Amnon	2SAM 13:23-39
8358	33	469	Absalom Returns to Jerusalem	2SAM 14:1-33
8391	12	470	Absalom's Conspiracy	2SAM 15:1-12
8403	25	471	David Flees	2SAM 15:13-37
8428	4	472	David and Ziba	2SAM 16:1-4
8432	10	473	Shimei Curses David	2SAM 16:5-14
8442	38	474	The Advice of Hushai and Ahithophel	2SAM 16:15-17:29
8480	18	475	Absalom's Death	2SAM 18:1-18
8498	23	476	David Mourns	2SAM 18:19-19:8
8521	35	477	David Returns to Jerusalem	2SAM 19:9-43
8556	26	478	Sheba Rebels Against David	2SAM 20:1-26
8582	14	479	The Gibeonites Avenged	2SAM 21:1-14
8596	8	480	Wars Against the Philistines	2SAM 21:15-22
8604	51	481	David's Song of Praise	2SAM 22:1-51
8655	7	482	The Last Words of David	2SAM 23:1-7
8662	32	483	David's Mighty Men	2SAM 23:8-39
8694	17	484	David Counts the Fighting Men	2SAM 24:1-17
8711	8	485	David Builds an Altar	2SAM 24:18-25
8719	27	486	Adonijah Sets Himself Up as King	1KGS 1:1-27
8746	26	487	David Makes Solomon King	1KGS 1:28-53
8772	12	488	David's Charge to Solomon	1KGS 2:1-12
8784	34	489	Solomon's Throne Established	1KGS 2:13-46
8818	15	490	Solomon Asks for Wisdom	1KGS 3:1-15
8833	13	491	A Wise Ruling	1KGS 3:16-28
8846	19	492	Solomon's Officials and Governors	1KGS 4:1-19
8865	9	493	Solomon's Daily Provisions	1KGS 4:20-28
